244,Gumby,,,,,,,,
245,GlassShield,The(1994),Crime,Drama,,,,,,
246,HoopDreams(1994),Documentary,,,,,,,
247,HeavenlyCreatures(1994),Crime,Drama,Fantasy,Romance,Thriller,,,
248,Houseguest(1994),Comedy,,,,,,,
249,ImmortalBeloved(1994),Drama,Romance,,,,,,
250,Heavyweights(a.k.a.HeavyWeights)(1995),Children,Comedy,,,,,,
251,Hunted,The(1995),Action,,,,,,,
252,I.Q.(1994),Comedy,Romance,,,,,,
253,InterviewwiththeVampire,,,,,,,,
254,JeffersoninParis(1995),Drama,,,,,,,
255,JerkyBoys,The(1994),Comedy,,,,,,,
256,Junior(1994),Comedy,Sci-Fi,,,,,,
257,JustCause(1995),Mystery,Thriller,,,,,,
258,KidinKingArthur'sCourt,A(1995),Adventure,Children,Comedy,Fantasy,Romance,,,
259,KissofDeath(1995),Crime,Drama,Thriller,,,,,
260,StarWars,,,,,,,,
261,LittleWomen(1994),Drama,,,,,,,
262,LittlePrincess,A(1995),Children,Drama,,,,,,
263,LadybirdLadybird(1994),Drama,,,,,,,
264,Enfer,L'(1994),Drama,,,,,,,
265,LikeWaterforChocolate(Comoaguaparachocolate)(1992),Drama,Romance,,,,,,
266,LegendsoftheFall(1994),Drama,Romance,War,Western,,,,
267,MajorPayne(1995),Comedy,,,,,,,
268,LittleOdessa(1994),Drama,,,,,,,
269,MyCrazyLife(Mividaloca)(1993),Drama,,,,,,,
270,LoveAffair(1994),Drama,Romance,,,,,,
271,LosingIsaiah(1995),Drama,,,,,,,
272,MadnessofKingGeorge,The(1994),Comedy,Drama,,,,,,
273,Frankenstein(MaryShelley'sFrankenstein)(1994),Drama,Horror,,,,,,
274,ManoftheHouse(1995),Comedy,,,,,,,
275,MixedNuts(1994),Comedy,,,,,,,
276,MilkMoney(1994),Comedy,Romance,,,,,,
277,Miracleon34thStreet(1994),Drama,,,,,,,
278,MiamiRhapsody(1995),Comedy,,,,,,,
279,MyFamily(1995),Drama,,,,,,,
280,MurderintheFirst(1995),Drama,Thriller,,,,,,
281,Nobody'sFool(1994),Comedy,Drama,Romance,,,,,
282,Nell(1994),Drama,,,,,,,
283,NewJerseyDrive(1995),Crime,Drama,,,,,,
284,NewYorkCop(NyûYôkunokoppu)(1993),Action,Crime,,,,,,
285,BeyondBedlam(1993),Drama,Horror,,,,,,
286,Nemesis2,,,,,,,,
287,NinaTakesaLover(1994),Comedy,Romance,,,,,,
288,NaturalBornKillers(1994),Action,Crime,Thriller,,,,,
289,OnlyYou(1994),Comedy,Romance,,,,,,
290,OnceWereWarriors(1994),Crime,Drama,,,,,,
291,PoisonIvyII(1996),Drama,Thriller,,,,,,
292,Outbreak(1995),Action,Drama,Sci-Fi,Thriller,,,,
293,Léon,,,,,,,,
294,PerezFamily,The(1995),Comedy,Romance,,,,,,
295,Pyromaniac'sLoveStory,A(1995),Comedy,Romance,,,,,,
296,PulpFiction(1994),Comedy,Crime,Drama,,,,,
297,Panther(1995),Drama,,,,,,,
298,PushingHands(Tuishou)(1992),Comedy,Drama,,,,,,
299,Priest(1994),Drama,,,,,,,
300,QuizShow(1994),Drama,,,,,,,
301,PictureBride(Bijophoto)(1994),Drama,Romance,,,,,,
302,QueenMargot(LaReineMargot)(1994),Drama,Romance,,,,,,
303,QuickandtheDead,The(1995),Action,Adventure,Western,,,,,
304,Roommates(1995),Comedy,Drama,,,,,,
305,ReadytoWear(Pret-A-Porter)(1994),Comedy,,,,,,,
306,ThreeColors,Rouge)(1994),,,,,,,
307,ThreeColors,Bleu)(1993),,,,,,,
308,ThreeColors,Blanc)(1994),,,,,,,
309,RedFirecracker,GreenFirecracker(PaoDaShuangDeng)(1994),Drama,,,,,,,
310,Rent-a-Kid(1995),Comedy,,,,,,,
311,RelativeFear(1994),Horror,Thriller,,,,,,
312,StuartSavesHisFamily(1995),Comedy,,,,,,,
313,SwanPrincess,The(1994),Animation,Children,,,,,,
314,SecretofRoanInish,The(1994),Children,Drama,Fantasy,Mystery,,,,
315,Specialist,The(1994),Action,Drama,Thriller,,,,,
316,Stargate(1994),Action,Adventure,Sci-Fi,,,,,
317,SantaClause,The(1994),Comedy,Drama,Fantasy,,,,,
318,ShawshankRedemption,The(1994),Drama,,,,,,,
319,ShallowGrave(1994),Comedy,Drama,Thriller,,,,,
320,Suture(1993),Film-Noir,Thriller,,,,,,
321,StrawberryandChocolate(Fresaychocolate)(1993),Drama,,,,,,,
322,SwimmingwithSharks(1995),Comedy,Drama,,,,,,
324,SumofUs,The(1994),Comedy,Drama,,,,,,
325,NationalLampoon'sSeniorTrip(1995),Comedy,,,,,,,
326,ToLive(Huozhe)(1994),Drama,,,,,,,
327,TankGirl(1995),Action,Comedy,Musical,Sci-Fi,,,,
328,TalesfromtheCryptPresents,,,,,,,,
329,StarTrek,,,,,,,,
330,TalesfromtheHood(1995),Action,Crime,Horror,,,,,
331,Tom&Viv(1994),Drama,,,,,,,
332,VillageoftheDamned(1995),Horror,Sci-Fi,,,,,,
333,TommyBoy(1995),Comedy,,,,,,,
334,Vanyaon42ndStreet(1994),Drama,,,,,,,
335,Underneath(1995),Mystery,Thriller,,,,,,
336,WalkingDead,The(1995),Drama,War,,,,,,
337,What'sEatingGilbertGrape(1993),Drama,,,,,,,
338,Virtuosity(1995),Action,Sci-Fi,Thriller,,,,,
339,WhileYouWereSleeping(1995),Comedy,Romance,,,,,,
340,War,The(1994),Adventure,Drama,War,,,,,
341,DoubleHappiness(1994),Drama,,,,,,,
342,Muriel'sWedding(1994),Comedy,,,,,,,
343,Baby-SittersClub,The(1995),Children,,,,,,,
344,AceVentura,,,,,,,,
345,AdventuresofPriscilla,QueenoftheDesert,The(1994),Comedy,Drama,,,,,,
346,Backbeat(1993),Drama,Musical,,,,,,
347,BitterMoon(1992),Drama,Film-Noir,,,,,,
348,BulletsOverBroadway(1994),Comedy,,,,,,,
349,ClearandPresentDanger(1994),Action,Adventure,Thriller,,,,,
350,Client,The(1994),Drama,Mystery,Thriller,,,,,
351,Corrina,Corrina(1994),Comedy,Drama,Romance,,,,,
352,Crooklyn(1994),Comedy,,,,,,,
353,Crow,The(1994),Action,Crime,Fantasy,Thriller,,,,
354,Cobb(1994),Drama,,,,,,,
355,Flintstones,The(1994),Children,Comedy,Fantasy,,,,,
356,ForrestGump(1994),Comedy,Drama,Romance,War,,,,
357,FourWeddingsandaFuneral(1994),Comedy,Romance,,,,,,
358,HigherLearning(1995),Drama,,,,,,,
359,ILikeItLikeThat(1994),Comedy,Drama,Romance,,,,,
360,ILoveTrouble(1994),Action,Comedy,,,,,,
361,ItCouldHappentoYou(1994),Comedy,Drama,Romance,,,,,
362,JungleBook,The(1994),Adventure,Children,Romance,,,,,
363,Wonderful,HorribleLifeofLeniRiefenstahl,The(MachtderBilder,,,,,,,,
364,LionKing,The(1994),Adventure,Animation,Children,Drama,Musical,,,
365,LittleBuddha(1993),Drama,,,,,,,
366,WesCraven'sNewNightmare(1994),Fantasy,Horror,,,,,,
367,Mask,The(1994),Action,Comedy,Crime,Fantasy,,,,
368,Maverick(1994),Adventure,Comedy,Western,,,,,
369,Mrs.ParkerandtheViciousCircle(1994),Drama,,,,,,,
370,NakedGun331/3,,,,,,,,
371,Paper,The(1994),Comedy,Drama,,,,,,
372,RealityBites(1994),Comedy,Drama,Romance,,,,,
373,RedRockWest(1992),Thriller,,,,,,,
374,RichieRich(1994),Children,Comedy,,,,,,
375,SafePassage(1994),Drama,,,,,,,
376,RiverWild,The(1994),Action,Thriller,,,,,,
377,Speed(1994),Action,Romance,Thriller,,,,,
378,Speechless(1994),Comedy,Romance,,,,,,
379,Timecop(1994),Action,Sci-Fi,Thriller,,,,,
380,TrueLies(1994),Action,Adventure,Comedy,Romance,Thriller,,,
381,WhenaManLovesaWoman(1994),Drama,,,,,,,
382,Wolf(1994),Drama,Horror,Romance,Thriller,,,,
383,WyattEarp(1994),Western,,,,,,,
384,BadCompany(1995),Action,Crime,Drama,,,,,
385,ManofNoImportance,A(1994),Drama,,,,,,,
386,S.F.W.(1994),Drama,,,,,,,
387,LowDownDirtyShame,A(1994),Action,Comedy,,,,,,
388,BoysLife(1995),Drama,,,,,,,
389,ColonelChabert,Le(1994),Drama,Romance,War,,,,,
390,FasterPussycat!Kill!Kill!(1965),Action,Comedy,Crime,Drama,,,,
391,Jason'sLyric(1994),Crime,Drama,,,,,,
392,SecretAdventuresofTomThumb,The(1993),Adventure,Animation,,,,,,
393,StreetFighter(1994),Action,Adventure,Fantasy,,,,,
394,Coldblooded(1995),Comedy,,,,,,,
395,DesertWinds(1995),Drama,Fantasy,Romance,,,,,
396,FallTime(1995),Drama,,,,,,,
397,Fear,The(1995),Horror,,,,,,,
398,FrankandOllie(1995),Documentary,,,,,,,
399,GirlintheCadillac(1995),Drama,,,,,,,
400,Homage(1995),Drama,,,,,,,
401,Mirage(1995),Action,Thriller,,,,,,
402,OpenSeason(1996),Comedy,,,,,,,
403,TwoCrimes(Doscrímenes)(1995),Comedy,Crime,Drama,,,,,
404,BrotherMinister,,,,,,,,
405,HighlanderIII,TheFinalDimension)(1994),,,,,,,
406,FederalHill(1994),Drama,,,,,,,
407,IntheMouthofMadness(1995),Horror,Thriller,,,,,,
408,8Seconds(1994),Drama,,,,,,,
409,AbovetheRim(1994),Drama,,,,,,,
410,AddamsFamilyValues(1993),Comedy,,,,,,,
411,YouSoCrazy(1994),Comedy,,,,,,,
412,AgeofInnocence,The(1993),Drama,,,,,,,
413,Airheads(1994),Comedy,,,,,,,
414,AirUpThere,The(1994),Comedy,,,,,,,
415,AnotherStakeout(1993),Comedy,Thriller,,,,,,
416,BadGirls(1994),Western,,,,,,,
417,Barcelona(1994),Comedy,Romance,,,,,,
418,BeingHuman(1993),Drama,,,,,,,
419,BeverlyHillbillies,The(1993),Comedy,,,,,,,
420,BeverlyHillsCopIII(1994),Action,Comedy,Crime,Thriller,,,,
421,BlackBeauty(1994),Adventure,Children,,,,,,
422,Blink(1994),Thriller,,,,,,,
423,BlownAway(1994),Action,Thriller,,,,,,
424,BlueChips(1994),Drama,,,,,,,
425,BlueSky(1994),Drama,Romance,,,,,,
426,BodySnatchers(1993),Horror,Sci-Fi,Thriller,,,,,
427,BoxingHelena(1993),Drama,Mystery,Romance,Thriller,,,,
428,BronxTale,A(1993),Drama,,,,,,,
429,CabinBoy(1994),Comedy,,,,,,,
430,CalendarGirl(1993),Drama,,,,,,,
431,Carlito'sWay(1993),Crime,Drama,,,,,,
432,CitySlickersII,,,,,,,,
433,CleanSlate(1994),Comedy,,,,,,,
434,Cliffhanger(1993),Action,Adventure,Thriller,,,,,
435,Coneheads(1993),Comedy,Sci-Fi,,,,,,
436,ColorofNight(1994),Drama,Thriller,,,,,,
437,CopsandRobbersons(1994),Comedy,,,,,,,
438,CowboyWay,The(1994),Action,Comedy,Drama,,,,,
439,DangerousGame(1993),Drama,,,,,,,
440,Dave(1993),Comedy,Romance,,,,,,
441,DazedandConfused(1993),Comedy,,,,,,,
442,DemolitionMan(1993),Action,Adventure,Sci-Fi,,,,,
443,EndlessSummer2,The(1994),Documentary,,,,,,,
444,EvenCowgirlsGettheBlues(1993),Comedy,Romance,,,,,,
445,FatalInstinct(1993),Comedy,,,,,,,
446,FarewellMyConcubine(Bawangbieji)(1993),Drama,Romance,,,,,,
447,Favor,The(1994),Comedy,Romance,,,,,,
448,Fearless(1993),Drama,,,,,,,
449,FearofaBlackHat(1994),Comedy,,,,,,,
450,WithHonors(1994),Comedy,Drama,,,,,,
451,FleshandBone(1993),Drama,Mystery,Romance,,,,,
452,Widows'Peak(1994),Drama,,,,,,,
453,ForLoveorMoney(1993),Comedy,,,,,,,
454,Firm,The(1993),Drama,Thriller,,,,,,
455,FreeWilly(1993),Adventure,Children,Drama,,,,,
456,Fresh(1994),Crime,Drama,Thriller,,,,,
457,Fugitive,The(1993),Thriller,,,,,,,
458,Geronimo,,,,,,,,
459,Getaway,The(1994),Action,Adventure,Crime,Drama,Romance,Thriller,,
460,GettingEvenwithDad(1994),Comedy,,,,,,,
461,GoFish(1994),Drama,Romance,,,,,,
462,GoodManinAfrica,A(1994),Action,Adventure,,,,,,
463,GuiltyasSin(1993),Crime,Drama,Thriller,,,,,
464,HardTarget(1993),Action,Adventure,Crime,Thriller,,,,
465,Heaven&Earth(1993),Action,Drama,War,,,,,
466,HotShots!PartDeux(1993),Action,Comedy,War,,,,,
467,LiveNudeGirls(1995),Comedy,,,,,,,
468,EnglishmanWhoWentUpaHillButCameDownaMountain,The(1995),Comedy,Romance,,,,,,
469,HouseoftheSpirits,The(1993),Drama,Romance,,,,,,
470,HouseParty3(1994),Comedy,,,,,,,
471,HudsuckerProxy,The(1994),Comedy,Drama,Fantasy,Romance,,,,
472,I'llDoAnything(1994),Comedy,Drama,,,,,,
473,IntheArmyNow(1994),Comedy,War,,,,,,
474,IntheLineofFire(1993),Action,Thriller,,,,,,
475,IntheNameoftheFather(1993),Drama,,,,,,,
476,Inkwell,The(1994),Comedy,Drama,,,,,,
477,What'sLoveGottoDowithIt?(1993),Drama,Musical,,,,,,
478,JimmyHollywood(1994),Comedy,Crime,Drama,,,,,
479,JudgmentNight(1993),Action,Crime,Thriller,,,,,
480,JurassicPark(1993),Action,Adventure,Sci-Fi,Thriller,,,,
481,Kalifornia(1993),Drama,Thriller,,,,,,
482,KillingZoe(1994),Action,Crime,,,,,,
483,KingoftheHill(1993),Drama,,,,,,,
484,Lassie(1994),Adventure,Children,,,,,,
485,LastActionHero(1993),Action,Adventure,Comedy,Fantasy,,,,
486,LifewithMikey(1993),Comedy,,,,,,,
487,LightningJack(1994),Comedy,Western,,,,,,
488,M.Butterfly(1993),Drama,,,,,,,
489,MadeinAmerica(1993),Comedy,,,,,,,
490,Malice(1993),Thriller,,,,,,,
491,ManWithoutaFace,The(1993),Drama,,,,,,,
492,ManhattanMurderMystery(1993),Comedy,Mystery,,,,,,
493,MenaceIISociety(1993),Action,Crime,Drama,,,,,
