IdEmpleado,NivelSatisfaccion,SatisfaccionLaboral_Disc,UltimaEvaluacion,UltimaEvaluacion_Disc,ProyectosRealizados,ProyectosRealizados_Disc,HorasMensuales,HorasMensuales_Disc,Antiguedad,Antiguedad_Disc,AccidentesTrabajo,AccidentesTrabajo_Disc,Ascendido,Ascendido_Disc,AreaTrabajo,NivelSalarial,Renuncia,Renuncia_Disc
35,0.84,Satisfecho,0.87,Excelente,4,[4-5],246,[200-249],6,[5-7],0,NO,0,NO,RRHH,Bajo,1,SI
36,0.1,Insatisfecho,0.94,Excelente,6,[6-7],255,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
38,0.45,Insatisfecho,0.5,Media,2,[2-3],126,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
39,0.11,Insatisfecho,0.89,Excelente,6,[6-7],306,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
40,0.41,Insatisfecho,0.54,Media,2,[2-3],152,[150-199],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
43,0.4,Insatisfecho,0.46,Media,2,[2-3],127,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
44,0.1,Insatisfecho,0.8,Buena,7,[6-7],281,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
45,0.09,Insatisfecho,0.89,Excelente,6,[6-7],276,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
49,0.4,Insatisfecho,0.54,Media,2,[2-3],148,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
51,0.13,Insatisfecho,0.78,Buena,6,[6-7],152,[150-199],2,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
53,0.38,Insatisfecho,0.55,Media,2,[2-3],134,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
54,0.39,Insatisfecho,0.54,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
55,0.1,Insatisfecho,0.92,Excelente,7,[6-7],307,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
57,0.11,Insatisfecho,0.94,Excelente,7,[6-7],255,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
58,0.1,Insatisfecho,0.81,Excelente,6,[6-7],309,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
59,0.38,Insatisfecho,0.54,Media,2,[2-3],128,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
63,0.1,Insatisfecho,0.95,Excelente,6,[6-7],244,[200-249],5,[5-7],0,NO,0,NO,Tecnologia,Medio,1,SI
64,0.36,Insatisfecho,0.56,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
65,0.11,Insatisfecho,0.94,Excelente,6,[6-7],286,[250-320],4,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
66,0.81,Satisfecho,0.7,Buena,6,[6-7],161,[150-199],4,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
67,0.43,Insatisfecho,0.54,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
68,0.9,Satisfecho,0.98,Excelente,4,[4-5],264,[250-320],6,[5-7],0,NO,0,NO,Produccion,Medio,1,SI
69,0.76,Satisfecho,0.86,Excelente,5,[4-5],223,[200-249],5,[5-7],1,SI,0,NO,Produccion,Medio,1,SI
70,0.43,Insatisfecho,0.5,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
71,0.74,Satisfecho,0.99,Excelente,2,[2-3],277,[250-320],3,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
72,0.09,Insatisfecho,0.77,Buena,5,[4-5],275,[250-320],4,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
73,0.45,Insatisfecho,0.49,Media,2,[2-3],149,[90-149],3,[2-4],0,NO,0,NO,Produccion,Alto,1,SI
75,0.11,Insatisfecho,0.97,Excelente,6,[6-7],277,[250-320],4,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
76,0.11,Insatisfecho,0.79,Buena,7,[6-7],306,[250-320],4,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
81,0.45,Insatisfecho,0.54,Media,2,[2-3],140,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
82,0.38,Insatisfecho,0.49,Media,2,[2-3],151,[150-199],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
83,0.79,Satisfecho,0.59,Media,4,[4-5],139,[90-149],3,[2-4],0,NO,1,SI,Gerencia,Bajo,1,SI
84,0.84,Satisfecho,0.85,Excelente,4,[4-5],249,[200-249],6,[5-7],0,NO,0,NO,Marketing,Bajo,1,SI
88,0.44,Insatisfecho,0.45,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
90,0.1,Insatisfecho,0.79,Buena,6,[6-7],291,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
92,0.89,Satisfecho,1,Excelente,5,[4-5],246,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
93,0.42,Insatisfecho,0.48,Media,2,[2-3],143,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
94,0.46,Insatisfecho,0.55,Media,2,[2-3],129,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
95,0.09,Insatisfecho,0.83,Excelente,6,[6-7],255,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
96,0.37,Insatisfecho,0.51,Media,2,[2-3],155,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
98,0.1,Insatisfecho,0.84,Excelente,6,[6-7],279,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
100,0.9,Satisfecho,1,Excelente,5,[4-5],221,[200-249],6,[5-7],0,NO,0,NO,Ventas,Medio,1,SI
101,0.38,Insatisfecho,0.52,Media,2,[2-3],154,[150-199],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
102,0.36,Insatisfecho,0.52,Media,2,[2-3],147,[90-149],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
103,0.42,Insatisfecho,0.46,Media,2,[2-3],150,[90-149],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
106,0.24,Insatisfecho,0.46,Media,7,[6-7],224,[200-249],5,[5-7],0,NO,0,NO,Contabilidad,Medio,1,SI
107,0.91,Satisfecho,1,Excelente,4,[4-5],257,[250-320],5,[5-7],0,NO,0,NO,Contabilidad,Medio,1,SI
109,0.71,Satisfecho,0.87,Excelente,3,[2-3],177,[150-199],4,[2-4],0,NO,0,NO,RRHH,Medio,1,SI
114,0.9,Satisfecho,0.96,Excelente,4,[4-5],258,[250-320],5,[5-7],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
115,0.84,Satisfecho,1,Excelente,5,[4-5],234,[200-249],5,[5-7],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
116,0.37,Insatisfecho,0.48,Media,2,[2-3],137,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
118,0.11,Insatisfecho,0.84,Excelente,6,[6-7],251,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
120,0.4,Insatisfecho,0.46,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
121,0.14,Insatisfecho,0.62,Buena,4,[4-5],158,[150-199],4,[2-4],1,SI,0,NO,Soporte Tecnico,Bajo,1,SI
122,0.4,Insatisfecho,0.46,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
123,0.75,Satisfecho,1,Excelente,4,[4-5],216,[200-249],6,[5-7],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
124,0.11,Insatisfecho,0.84,Excelente,6,[6-7],300,[250-320],5,[5-7],1,SI,0,NO,Logistica,Bajo,1,SI
126,0.11,Insatisfecho,0.92,Excelente,6,[6-7],260,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
132,0.38,Insatisfecho,0.57,Media,2,[2-3],140,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
133,0.9,Satisfecho,1,Excelente,5,[4-5],221,[200-249],5,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
135,0.36,Insatisfecho,0.5,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
136,0.31,Insatisfecho,0.84,Excelente,7,[6-7],133,[90-149],5,[5-7],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
137,0.1,Insatisfecho,0.84,Excelente,6,[6-7],283,[250-320],4,[2-4],1,SI,0,NO,Soporte Tecnico,Bajo,1,SI
138,0.42,Insatisfecho,0.48,Media,2,[2-3],129,[90-149],3,[2-4],0,NO,0,NO,Gerencia,Bajo,1,SI
141,0.09,Insatisfecho,0.96,Excelente,6,[6-7],245,[200-249],4,[2-4],0,NO,0,NO,Tecnologia,Bajo,1,SI
143,0.11,Insatisfecho,0.8,Buena,6,[6-7],256,[250-320],4,[2-4],0,NO,0,NO,Tecnologia,Bajo,1,SI
146,0.41,Insatisfecho,0.46,Media,2,[2-3],151,[150-199],3,[2-4],0,NO,0,NO,Produccion,Bajo,1,SI
147,0.76,Satisfecho,0.92,Excelente,4,[4-5],239,[200-249],5,[5-7],0,NO,0,NO,Produccion,Bajo,1,SI
148,0.11,Insatisfecho,0.87,Excelente,6,[6-7],306,[250-320],4,[2-4],0,NO,0,NO,Tecnologia,Bajo,1,SI
152,0.45,Insatisfecho,0.56,Media,2,[2-3],154,[150-199],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
154,0.4,Insatisfecho,0.52,Media,2,[2-3],155,[150-199],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
155,0.39,Insatisfecho,0.48,Media,2,[2-3],160,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
156,0.11,Insatisfecho,0.8,Buena,6,[6-7],304,[250-320],4,[2-4],0,NO,0,NO,Contabilidad,Bajo,1,SI
158,0.11,Insatisfecho,0.92,Excelente,6,[6-7],305,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
160,0.45,Insatisfecho,0.45,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
161,0.1,Insatisfecho,0.95,Excelente,7,[6-7],301,[250-320],4,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
162,0.9,Satisfecho,0.98,Excelente,5,[4-5],243,[200-249],6,[5-7],0,NO,0,NO,Marketing,Bajo,1,SI
164,0.79,Satisfecho,0.89,Excelente,5,[4-5],239,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
167,0.43,Insatisfecho,0.55,Media,2,[2-3],129,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
168,0.31,Insatisfecho,0.54,Media,5,[4-5],132,[90-149],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
169,0.32,Insatisfecho,0.5,Media,2,[2-3],135,[90-149],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
170,0.45,Insatisfecho,0.57,Media,2,[2-3],158,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
171,0.81,Satisfecho,0.99,Excelente,4,[4-5],259,[250-320],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
172,0.41,Insatisfecho,0.46,Media,2,[2-3],160,[150-199],3,[2-4],0,NO,1,SI,Ventas,Bajo,1,SI
175,0.7,Apenas Satisfecho,0.53,Media,2,[2-3],274,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
176,0.54,Apenas Satisfecho,0.74,Buena,4,[4-5],164,[150-199],2,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
177,0.41,Insatisfecho,0.48,Media,2,[2-3],148,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
178,0.38,Insatisfecho,0.5,Media,2,[2-3],140,[90-149],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
179,0.37,Insatisfecho,0.51,Media,2,[2-3],127,[90-149],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
182,0.1,Insatisfecho,0.84,Excelente,6,[6-7],261,[250-320],4,[2-4],0,NO,0,NO,Contabilidad,Medio,1,SI
183,0.89,Satisfecho,0.99,Excelente,5,[4-5],257,[250-320],5,[5-7],0,NO,0,NO,Contabilidad,Medio,1,SI
184,0.11,Insatisfecho,0.8,Buena,6,[6-7],285,[250-320],4,[2-4],0,NO,0,NO,Contabilidad,Medio,1,SI
185,0.36,Insatisfecho,0.55,Media,2,[2-3],141,[90-149],3,[2-4],0,NO,0,NO,RRHH,Medio,1,SI
186,0.4,Insatisfecho,0.46,Media,2,[2-3],127,[90-149],3,[2-4],0,NO,0,NO,RRHH,Medio,1,SI
188,0.4,Insatisfecho,0.46,Media,2,[2-3],143,[90-149],3,[2-4],0,NO,0,NO,RRHH,Medio,1,SI
190,0.44,Insatisfecho,0.51,Media,2,[2-3],156,[150-199],3,[2-4],0,NO,0,NO,Soporte Tecnico,Alto,1,SI
191,0.09,Insatisfecho,0.8,Buena,7,[6-7],283,[250-320],5,[5-7],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
192,0.92,Satisfecho,0.87,Excelente,4,[4-5],226,[200-249],6,[5-7],1,SI,0,NO,Soporte Tecnico,Medio,1,SI
193,0.74,Satisfecho,0.91,Excelente,4,[4-5],232,[200-249],5,[5-7],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
196,0.09,Insatisfecho,0.8,Buena,6,[6-7],304,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
197,0.27,Insatisfecho,0.54,Media,7,[6-7],278,[250-320],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
200,0.77,Satisfecho,0.94,Excelente,5,[4-5],226,[200-249],6,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
201,0.9,Satisfecho,0.82,Excelente,5,[4-5],259,[250-320],5,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
202,0.39,Insatisfecho,0.5,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
203,0.76,Satisfecho,1,Excelente,5,[4-5],219,[200-249],5,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
204,0.1,Insatisfecho,0.93,Excelente,6,[6-7],256,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
206,0.38,Insatisfecho,0.5,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
207,0.77,Satisfecho,0.99,Excelente,5,[4-5],228,[200-249],5,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
208,0.78,Satisfecho,0.87,Excelente,4,[4-5],228,[200-249],5,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
210,0.38,Insatisfecho,0.52,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
211,0.43,Insatisfecho,0.46,Media,2,[2-3],156,[150-199],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
212,0.39,Insatisfecho,0.5,Media,4,[4-5],294,[250-320],3,[2-4],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
213,0.88,Satisfecho,1,Excelente,5,[4-5],219,[200-249],5,[5-7],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
214,0.45,Insatisfecho,0.46,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Gerencia,Bajo,1,SI
218,0.9,Satisfecho,0.98,Excelente,5,[4-5],245,[200-249],5,[5-7],0,NO,0,NO,Tecnologia,Bajo,1,SI
221,0.1,Insatisfecho,0.84,Excelente,6,[6-7],286,[250-320],4,[2-4],0,NO,0,NO,Produccion,Bajo,1,SI
222,0.37,Insatisfecho,0.5,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Produccion,Bajo,1,SI
223,0.37,Insatisfecho,0.51,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Produccion,Bajo,1,SI
224,0.87,Satisfecho,0.9,Excelente,5,[4-5],252,[250-320],5,[5-7],0,NO,0,NO,Tecnologia,Bajo,1,SI
225,0.4,Insatisfecho,0.56,Media,2,[2-3],149,[90-149],3,[2-4],0,NO,0,NO,Contabilidad,Bajo,1,SI
227,0.37,Insatisfecho,0.46,Media,2,[2-3],158,[150-199],3,[2-4],0,NO,0,NO,RRHH,Bajo,1,SI
228,0.44,Insatisfecho,0.54,Media,2,[2-3],149,[90-149],3,[2-4],0,NO,0,NO,RRHH,Bajo,1,SI
229,0.85,Satisfecho,0.95,Excelente,5,[4-5],236,[200-249],5,[5-7],0,NO,0,NO,RRHH,Bajo,1,SI
230,0.78,Satisfecho,0.98,Excelente,5,[4-5],239,[200-249],6,[5-7],0,NO,0,NO,Marketing,Bajo,1,SI
231,0.42,Insatisfecho,0.47,Media,2,[2-3],159,[150-199],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
232,0.92,Satisfecho,0.99,Excelente,5,[4-5],255,[250-320],6,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
234,0.42,Insatisfecho,0.56,Media,2,[2-3],134,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
236,0.83,Satisfecho,0.85,Excelente,4,[4-5],255,[250-320],5,[5-7],0,NO,0,NO,Gerencia,Bajo,1,SI
238,0.43,Insatisfecho,0.45,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
239,0.43,Insatisfecho,0.53,Media,2,[2-3],146,[90-149],3,[2-4],0,NO,0,NO,Marketing,Bajo,1,SI
241,0.1,Insatisfecho,0.87,Excelente,7,[6-7],289,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
244,0.4,Insatisfecho,0.5,Media,2,[2-3],128,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
245,0.89,Satisfecho,0.86,Excelente,5,[4-5],275,[250-320],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
246,0.45,Insatisfecho,0.46,Media,2,[2-3],155,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
247,0.37,Insatisfecho,0.48,Media,2,[2-3],159,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
248,0.46,Insatisfecho,0.49,Media,2,[2-3],148,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
249,0.87,Satisfecho,0.91,Excelente,4,[4-5],228,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
250,0.11,Insatisfecho,0.84,Excelente,6,[6-7],298,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
251,0.79,Satisfecho,0.87,Excelente,5,[4-5],261,[250-320],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
253,0.19,Insatisfecho,0.59,Media,7,[6-7],192,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
254,0.87,Satisfecho,0.98,Excelente,4,[4-5],248,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
257,0.11,Insatisfecho,0.81,Excelente,6,[6-7],266,[250-320],4,[2-4],1,SI,0,NO,Ventas,Medio,1,SI
258,0.42,Insatisfecho,0.54,Media,2,[2-3],156,[150-199],3,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
260,0.11,Insatisfecho,0.84,Excelente,6,[6-7],287,[250-320],4,[2-4],0,NO,0,NO,Contabilidad,Medio,1,SI
265,0.42,Insatisfecho,0.5,Media,2,[2-3],139,[90-149],3,[2-4],0,NO,0,NO,RRHH,Medio,1,SI
267,0.11,Insatisfecho,0.95,Excelente,6,[6-7],286,[250-320],4,[2-4],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
268,0.45,Insatisfecho,0.53,Media,2,[2-3],129,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Alto,1,SI
270,0.38,Insatisfecho,0.86,Excelente,6,[6-7],139,[90-149],6,[5-7],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
271,0.44,Insatisfecho,0.51,Media,2,[2-3],127,[90-149],3,[2-4],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
273,0.81,Satisfecho,0.93,Excelente,5,[4-5],270,[250-320],5,[5-7],0,NO,0,NO,Soporte Tecnico,Medio,1,SI
278,0.74,Satisfecho,0.89,Excelente,5,[4-5],229,[200-249],6,[5-7],0,NO,0,NO,Logistica,Bajo,1,SI
279,0.09,Insatisfecho,0.78,Buena,6,[6-7],254,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
285,0.38,Insatisfecho,0.47,Media,2,[2-3],144,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
286,0.4,Insatisfecho,0.56,Media,2,[2-3],148,[90-149],3,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
287,0.11,Insatisfecho,0.83,Excelente,6,[6-7],306,[250-320],4,[2-4],0,NO,0,NO,Logistica,Bajo,1,SI
288,0.11,Insatisfecho,0.79,Buena,6,[6-7],292,[250-320],4,[2-4],0,NO,1,SI,Soporte Tecnico,Bajo,1,SI
289,0.82,Satisfecho,0.91,Excelente,5,[4-5],232,[200-249],5,[5-7],0,NO,0,NO,Soporte Tecnico,Bajo,1,SI
291,0.4,Insatisfecho,0.46,Media,2,[2-3],128,[90-149],3,[2-4],0,NO,0,NO,Gerencia,Bajo,1,SI
292,0.87,Satisfecho,0.84,Excelente,5,[4-5],231,[200-249],5,[5-7],0,NO,0,NO,Tecnologia,Bajo,1,SI
293,0.41,Insatisfecho,0.49,Media,2,[2-3],146,[90-149],3,[2-4],0,NO,0,NO,Tecnologia,Bajo,1,SI
294,0.11,Insatisfecho,0.91,Excelente,6,[6-7],308,[250-320],4,[2-4],1,SI,0,NO,Tecnologia,Bajo,1,SI
295,0.1,Insatisfecho,0.93,Excelente,6,[6-7],253,[250-320],4,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
297,0.39,Insatisfecho,0.55,Media,2,[2-3],156,[150-199],3,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
298,0.4,Insatisfecho,0.52,Media,2,[2-3],147,[90-149],3,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
299,0.45,Insatisfecho,0.48,Media,2,[2-3],136,[90-149],3,[2-4],0,NO,0,NO,Produccion,Medio,1,SI
300,0.74,Satisfecho,0.84,Excelente,5,[4-5],249,[200-249],5,[5-7],0,NO,0,NO,Produccion,Medio,1,SI
301,0.45,Insatisfecho,0.55,Media,2,[2-3],151,[150-199],3,[2-4],0,NO,0,NO,Tecnologia,Medio,1,SI
302,0.12,Insatisfecho,1,Excelente,3,[2-3],278,[250-320],4,[2-4],0,NO,0,NO,Servicios,Medio,1,SI
304,0.37,Insatisfecho,0.55,Media,2,[2-3],127,[90-149],3,[2-4],0,NO,0,NO,Servicios,Medio,1,SI
306,0.45,Insatisfecho,0.47,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Servicios,Medio,1,SI
307,0.37,Insatisfecho,0.46,Media,2,[2-3],149,[90-149],3,[2-4],0,NO,0,NO,Marketing,Alto,1,SI
308,0.11,Insatisfecho,0.81,Excelente,5,[4-5],287,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
309,0.41,Insatisfecho,0.48,Media,2,[2-3],145,[90-149],3,[2-4],0,NO,0,NO,Contabilidad,Medio,1,SI
